ID,Date,Alp,TL,BTL,P1,Problem 2 Icon,P3,AddCon
20471,3/30/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,NOICON.gif,,Cornice.png
20472,3/31/2018 0:00,Moderate,Moderate,Low,DeepPersistentSlabs.png,NOICON.gif,,Cornice.png
20473,4/1/2018 0:00,Low,Low,Low,DeepPersistentSlabs.png,NOICON.gif,,Cornice.png
20474,4/2/2018 0:00,Low,Low,Low,DeepPersistentSlabs.png,NOICON.gif,,Cornice.png
20475,4/3/2018 0:00,Low,Low,Low,DeepPersistentSlabs.png,NOICON.gif,,Cornice.png
20476,4/4/2018 0:00,Considerable,Considerable,Considerable,StormSlabs.png,DeepPersistentSlabs.png,,Cornice.png
20477,4/5/2018 0:00,Considerable,Considerable,Considerable,StormSlabs.png,LooseWet.png,,DeepPersistentSlabs.png
20478,4/6/2018 0:00,Considerable,Considerable,Moderate,StormSlabs.png,LooseWet.png,,DeepPersistentSlabs.png
20479,4/7/2018 0:00,Moderate,Moderate,Moderate,PersistentSlabs.png,LooseWet.png,,DeepPersistentSlabs.png
20480,4/8/2018 0:00,Moderate,Moderate,Moderate,PersistentSlabs.png,LooseWet.png,,NOICON.gif
20481,4/9/2018 0:00,Moderate,Moderate,Moderate,LooseWet.png,PersistentSlabs.png,,Cornice.png
20482,4/10/2018 0:00,Moderate,Considerable,Considerable,LooseWet.png,PersistentSlabs.png,,Cornice.png
20483,4/11/2018 0:00,Considerable,Considerable,Considerable,LooseWet.png,PersistentSlabs.png,,Cornice.png
20484,4/12/2018 0:00,Considerable,Considerable,Considerable,LooseWet.png,StormSlabs.png,,PersistentSlabs.png
20485,4/13/2018 0:00,Moderate,Moderate,Moderate,LooseWet.png,StormSlabs.png,,NOICON.gif
20486,4/14/2018 0:00,Moderate,Moderate,Moderate,LooseWet.png,NOICON.gif,,PersistentSlabs.png
20487,4/15/2018 0:00,Moderate,Moderate,Moderate,LooseWet.png,NOICON.gif,,PersistentSlabs.png
