"Date","alp.pred","tl.pred","btl.pred","alp.ob","tl.ob","btl.ob","p1.pred","p2.pred","p3.pred","ac.pred","p1.ob","p2.ob"
2010-03-12,2,2,2,,,,"","",,,,
2010-03-13,2,2,2,,,,"","","","",,
2010-03-14,2,2,2,,,,"","",,,,
2010-03-15,2,2,2,,,,"","",,,,
2010-03-16,2,2,2,,,,"","",,,,
2010-03-17,2,2,2,,,,"","",,,,
2010-03-18,2,2,2,,,,"","",,,,
2010-03-19,3,3,3,,,,"","",,,,
2010-03-20,3,3,3,,,,"","",,,,
2010-03-21,3,3,3,,,,"","",,,,
2010-03-22,2,2,2,,,,"","",,,,
2010-03-23,2,2,2,,,,"","",,,,
2010-03-24,2,2,2,,,,"","",,,,
2010-03-25,2,2,2,,,,"","",,,,
2010-03-26,2,2,2,,,,"","",,,,
2010-03-27,2,2,2,,,,"","",,,,
2010-03-28,3,3,3,,,,"","",,,,
2010-03-29,3,3,3,,,,"","",,,,
2010-03-30,3,3,3,,,,"","",,,,
2010-03-31,3,3,3,,,,"","",,,,
2010-04-01,3,3,3,,,,"","",,,,
2010-04-02,2,2,2,,,,"","",,,,
2010-04-03,2,2,2,,,,"","",,,,
2010-04-04,2,2,2,,,,"","",,,,
2010-04-05,3,3,3,,,,"","",,,,
2010-04-06,3,3,3,,,,"","",,,,
2010-04-07,2,2,2,,,,"","",,,,
2010-04-08,2,2,2,,,,"","",,,,
2010-04-09,2,2,2,,,,"","",,,,
2010-04-10,2,2,2,,,,"","",,,,
2010-04-11,2,2,2,,,,"","",,,,
2010-04-12,2,2,2,,,,"","",,,,
2010-04-13,2,2,2,,,,"","",,,,
2010-04-14,1,1,1,,,,"","",,,,
2010-04-15,,,,,,,"","",,,,
2010-10-29,,,,,,,"","",,,,
2010-11-08,,,,,,,"","",,,,
2010-11-10,,,,,,,"","",,,,
2010-11-12,1,1,1,,,,"","",,,,
2010-11-13,1,1,1,,,,"","",,,,
2010-11-14,1,1,1,,,,"","",,,,
2010-11-15,1,1,1,,,,"","",,,,
2010-11-16,1,1,1,,,,"","",,,,
2010-11-17,1,1,1,,,,"","",,,,
2010-11-18,1,1,1,,,,"","",,,,
2010-11-19,1,1,1,,,,"","",,,,
2010-11-20,1,1,1,,,,"","",,,,
2010-11-21,1,1,1,,,,"","",,,,
2010-11-22,2,2,2,,,,"","",,,,
2010-11-23,2,2,2,,,,"","",,,,
2010-11-24,2,2,2,,,,"","",,,,
2010-11-25,2,2,2,,,,"","",,,,
2010-11-26,2,2,2,,,,"","",,,,
2010-11-27,1,1,1,,,,"","",,,,
2010-11-28,2,2,2,,,,"","",,,,
2010-11-29,2,2,2,,,,"","",,,,
2010-11-30,2,2,2,,,,"","",,,,
2010-12-01,1,1,1,,,,"","",,,,
2010-12-02,1,1,1,,,,"","",,,,
2010-12-03,3,3,3,,,,"","",,,,
2010-12-04,3,3,3,,,,"","",,,,
2010-12-05,3,3,3,,,,"","",,,,
2010-12-06,2,2,2,,,,"","",,,,
2010-12-07,2,2,2,,,,"","",,,,
2010-12-08,2,2,2,,,,"","",,,,
2010-12-09,2,2,2,,,,"","",,,,
2010-12-10,2,2,2,,,,"","",,,,
2010-12-11,2,2,2,,,,"","",,,,
2010-12-12,2,2,2,,,,"","",,,,
2010-12-13,2,2,2,,,,"","",,,,
2010-12-14,2,2,2,,,,"","",,,,
2010-12-15,2,2,2,,,,"","",,,,
2010-12-16,2,2,2,,,,"","",,,,
2010-12-17,2,2,2,,,,"","",,,,
2010-12-18,2,2,2,,,,"","",,,,
2010-12-19,2,2,2,,,,"","",,,,
2010-12-20,2,2,2,,,,"","",,,,
2010-12-21,1,1,1,,,,"","",,,,
2010-12-22,1,1,1,,,,"","",,,,
2010-12-23,1,1,1,,,,"","",,,,
2010-12-24,1,1,1,,,,"","",,,,
2010-12-25,1,1,1,,,,"","",,,,
2010-12-26,1,1,1,,,,"","",,,,
2010-12-27,1,1,1,,,,"","",,,,
2010-12-28,1,1,1,,,,"","",,,,
2010-12-29,1,1,1,,,,"","",,,,
2010-12-30,3,3,3,,,,"","",,,,
2010-12-31,3,3,3,,,,"","",,,,
2011-01-01,2,2,2,,,,"","",,,,
2011-01-02,3,3,3,,,,"","",,,,
2011-01-03,4,4,4,,,,"","",,,,
2011-01-04,3,3,3,,,,"","",,,,
2011-01-05,3,3,3,,,,"","",,,,
2011-01-06,3,3,3,,,,"","",,,,
